IP, DNS Name or NETBios, OS, Instance ID, Instance Status, Last State Change, Last Time Agent Checked In, CVE Ranges by Year, Vulnerability ID, Vulnerability Title, Port, CVE ID, Vulnerability Type, Vulnerability Severity, Vendor References, Bugtraq ID, CVSS2 Base, CVSS2 Temporal, CVSS3 Base,CVSS3 Temporal, Threat, Impact, Vulnerable packages, ALAS Link, RHEL CVE Data, Exploitability, Associated Malware, PCI Severity and Compliance Status, OS CPE(s), Vulnerability Category, Patchable
54.213.249.63, ip-10-10-12-239, Amazon 2016.09 Linux 4.9.20-11.31.amzn1.x86_64, i-0a08499e6d4498a6a, active, 2017-08-01T01:06:14.131Z, 2017-08-03T05:26:14.fZ, Year: 2017 Low: 6 Medium 14 High: 23, babbecda718f11e7ad2e15c9b61d473b, Package: git.x86_64 version: 2.7.4-1.47.amzn1, N/A - based on package, CVE-2017-8386, Network vulnerability with Low access complexity requiring athentication level Single_instance, Based on the Halo account settings the vulnerability is critical.  It is a CVE from 2017 and its qualitative severity ranking (based on PCI guidelines) is medium,  https://security.gentoo.org/glsa/201706-04 https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/FDS3LSJJ3YGGQYIVPKQDVOCXWDSF6JGF/ https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/DPYRN7APMHY4ZFDPAKD22J5R4QJFY2JP/ https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/3ISHYFLM2ACYHHY3JHCLF75X7UF4ZMDM/ https://kernel.googlesource.com/pub/scm/git/git/+/3ec804490a265f4c418a321428c12f3f18b7eff5 https://insinuator.net/2017/05/git-shell-bypass-by-abusing-less-cve-2017-8386/ http://www.ubuntu.com/usn/USN-3287-1 http://www.securitytracker.com/id/1038479 http://www.securityfocus.com/bid/98409 http://www.debian.org/security/2017/dsa-3848 http://public-inbox.org/git/xmqq8tm5ziat.fsf@gitster.mtv.corp.google.com/ http://lists.opensuse.org/opensuse-updates/2017-05/msg00090.html,  http://www.securityfocus.com/bid/98409, 6.5, RFE, RFE, RFE, Network vulnerability with Low access complexity requiring athentication level Single_instance, The availability impact is Partial. The confidentiality impact is Partial. The integrity impact is Partial, Patch vulnerable package git.x86_64: git-shell in git before 2.4.12 2.5.x before 2.5.6 2.6.x before 2.6.7 2.7.x before 2.7.5 2.8.x before 2.8.5 2.9.x before 2.9.4 2.10.x before 2.10.3 2.11.x before 2.11.2 and 2.12.x before 2.12.3 might allow remote authenticated users to gain privileges via a repository name that starts with a - (dash) character.. Refer to references  https://security.gentoo.org/glsa/201706-04 https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/FDS3LSJJ3YGGQYIVPKQDVOCXWDSF6JGF/ https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/DPYRN7APMHY4ZFDPAKD22J5R4QJFY2JP/ https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/3ISHYFLM2ACYHHY3JHCLF75X7UF4ZMDM/ https://kernel.googlesource.com/pub/scm/git/git/+/3ec804490a265f4c418a321428c12f3f18b7eff5 https://insinuator.net/2017/05/git-shell-bypass-by-abusing-less-cve-2017-8386/ http://www.ubuntu.com/usn/USN-3287-1 http://www.securitytracker.com/id/1038479 http://www.securityfocus.com/bid/98409 http://www.debian.org/security/2017/dsa-3848 http://public-inbox.org/git/xmqq8tm5ziat.fsf@gitster.mtv.corp.google.com/ http://lists.opensuse.org/opensuse-updates/2017-05/msg00090.html,  https://alas.aws.amazon.com/ALAS-2017-842.html,, Network vulnerability with Low access complexity requiring athentication level Single_instance, N/A, medium Fail, cpe:/o:fedoraproject:fedora:26 cpe:/o:canonical:ubuntu_linux:16.04::~~lts~~~ cpe:/o:novell:leap:42.1 cpe:/o:canonical:ubuntu_linux:14.04::~~lts~~~ cpe:/o:canonical:ubuntu_linux:17.04 cpe:/o:canonical:ubuntu_linux:16.10 cpe:/o:fedoraproject:fedora:24 cpe:/o:fedoraproject:fedora:25 cpe:/o:debian:debian_linux:8.0 cpe:/a:git:git-shell:-, Network, True
,,,,,,,, ba674b4e718f11e7ad2e15c9b61d473b, Package: glibc-common.x86_64 version: 2.17-157.169.amzn1, N/A - based on package, CVE-2017-1000366, Local vulnerability with Low access complexity requiring athentication level None, Based on the Halo account settings the vulnerability is critical.  It is a CVE from 2017 and its qualitative severity ranking (based on PCI guidelines) is high,  https://www.suse.com/support/kb/doc/?id=7020973 https://www.suse.com/security/cve/CVE-2017-1000366/ https://www.qualys.com/2017/06/19/stack-clash/stack-clash.txt https://security.gentoo.org/glsa/201706-19 https://access.redhat.com/security/cve/CVE-2017-1000366 http://www.securitytracker.com/id/1038712 http://www.securityfocus.com/bid/99127,  http://www.securityfocus.com/bid/99127, 7.2, RFE, RFE, RFE, Local vulnerability with Low access complexity requiring athentication level None, The availability impact is Complete. The confidentiality impact is Complete. The integrity impact is Complete, Patch vulnerable package glibc-common.x86_64: glibc contains a vulnerability that allows specially crafted LD_LIBRARY_PATH values to manipulate the heap/stack causing them to alias potentially resulting in arbitrary code execution. Please note that additional hardening changes have been made to glibc to prevent manipulation of stack and heap memory but these issues are not directly exploitable as such they have not been given a CVE. This affects glibc 2.25 and earlier.. Refer to references  https://www.suse.com/support/kb/doc/?id=7020973 https://www.suse.com/security/cve/CVE-2017-1000366/ https://www.qualys.com/2017/06/19/stack-clash/stack-clash.txt https://security.gentoo.org/glsa/201706-19 https://access.redhat.com/security/cve/CVE-2017-1000366 http://www.securitytracker.com/id/1038712 http://www.securityfocus.com/bid/99127,  https://alas.aws.amazon.com/ALAS-2017-844.html,, Local vulnerability with Low access complexity requiring athentication level None, N/A, high Fail, cpe:/a:openstack:cloud_magnum_orchestration:7 cpe:/a:gnu:glibc:2.25 cpe:/o:suse:linux_enterprise_server:12:sp2:~~ltss~~~ cpe:/o:suse:linux_enterprise_server:12:sp1:~~ltss~~~ cpe:/o:redhat:enterprise_linux_server_long_life:5.9 cpe:/o:novell:suse_linux_enterprise_desktop:12.0:sp2 cpe:/o:redhat:enterprise_linux:7.0 cpe:/o:opensuse_project:leap:42.2 cpe:/o:redhat:enterprise_linux_eus:6.7 cpe:/o:suse:linux_enterprise_server:12:sp2 cpe:/o:suse:linux_enterprise_for_sap:12:sp1 cpe:/o:suse:linux_enterprise_server:11:sp4 cpe:/o:suse:linux_enterprise_server_for_raspberry_pi:12:sp2 cpe:/o:redhat:enterprise_linux:5::server cpe:/o:redhat:enterprise_linux_server_eus:6.5 cpe:/o:redhat:enterprise_linux:6 cpe:/o:redhat:enterprise_linux_server_tus:6.5 cpe:/o:redhat:enterprise_linux_server_eus:7.2 cpe:/o:redhat:enterprise_linux_aus:6.6 cpe:/o:redhat:enterprise_linux_server_eus:6.2 cpe:/o:novell:suse_linux_enterprise_server:11.0:sp3:~~ltss~~~ cpe:/o:suse:linux_enterprise_software_development_kit:12.0:sp2 cpe:/o:redhat:enterprise_linux_server:6.6 cpe:/o:suse:linux_enterprise_server:10:sp4:~~ltss~~~ cpe:/o:suse:linux_enterprise_software_development_kit:11.0:sp4 cpe:/o:novell:suse_linux_enterprise_point_of_sale:11.0:sp3, Local, True
,,,,,,,, ba045d86718f11e7ad2e15c9b61d473b, Package: glibc.x86_64 version: 2.17-157.169.amzn1, N/A - based on package, CVE-2017-1000366, Local vulnerability with Low access complexity requiring athentication level None, Based on the Halo account settings the vulnerability is critical.  It is a CVE from 2017 and its qualitative severity ranking (based on PCI guidelines) is high,  https://www.suse.com/support/kb/doc/?id=7020973 https://www.suse.com/security/cve/CVE-2017-1000366/ https://www.qualys.com/2017/06/19/stack-clash/stack-clash.txt https://security.gentoo.org/glsa/201706-19 https://access.redhat.com/security/cve/CVE-2017-1000366 http://www.securitytracker.com/id/1038712 http://www.securityfocus.com/bid/99127,  http://www.securityfocus.com/bid/99127, 7.2, RFE, RFE, RFE, Local vulnerability with Low access complexity requiring athentication level None, The availability impact is Complete. The confidentiality impact is Complete. The integrity impact is Complete, Patch vulnerable package glibc.x86_64: glibc contains a vulnerability that allows specially crafted LD_LIBRARY_PATH values to manipulate the heap/stack causing them to alias potentially resulting in arbitrary code execution. Please note that additional hardening changes have been made to glibc to prevent manipulation of stack and heap memory but these issues are not directly exploitable as such they have not been given a CVE. This affects glibc 2.25 and earlier.. Refer to references  https://www.suse.com/support/kb/doc/?id=7020973 https://www.suse.com/security/cve/CVE-2017-1000366/ https://www.qualys.com/2017/06/19/stack-clash/stack-clash.txt https://security.gentoo.org/glsa/201706-19 https://access.redhat.com/security/cve/CVE-2017-1000366 http://www.securitytracker.com/id/1038712 http://www.securityfocus.com/bid/99127,  https://alas.aws.amazon.com/ALAS-2017-844.html,, Local vulnerability with Low access complexity requiring athentication level None, N/A, high Fail, cpe:/a:openstack:cloud_magnum_orchestration:7 cpe:/a:gnu:glibc:2.25 cpe:/o:suse:linux_enterprise_server:12:sp2:~~ltss~~~ cpe:/o:suse:linux_enterprise_server:12:sp1:~~ltss~~~ cpe:/o:redhat:enterprise_linux_server_long_life:5.9 cpe:/o:novell:suse_linux_enterprise_desktop:12.0:sp2 cpe:/o:redhat:enterprise_linux:7.0 cpe:/o:opensuse_project:leap:42.2 cpe:/o:redhat:enterprise_linux_eus:6.7 cpe:/o:suse:linux_enterprise_server:12:sp2 cpe:/o:suse:linux_enterprise_for_sap:12:sp1 cpe:/o:suse:linux_enterprise_server:11:sp4 cpe:/o:suse:linux_enterprise_server_for_raspberry_pi:12:sp2 cpe:/o:redhat:enterprise_linux:5::server cpe:/o:redhat:enterprise_linux_server_eus:6.5 cpe:/o:redhat:enterprise_linux:6 cpe:/o:redhat:enterprise_linux_server_tus:6.5 cpe:/o:redhat:enterprise_linux_server_eus:7.2 cpe:/o:redhat:enterprise_linux_aus:6.6 cpe:/o:redhat:enterprise_linux_server_eus:6.2 cpe:/o:novell:suse_linux_enterprise_server:11.0:sp3:~~ltss~~~ cpe:/o:suse:linux_enterprise_software_development_kit:12.0:sp2 cpe:/o:redhat:enterprise_linux_server:6.6 cpe:/o:suse:linux_enterprise_server:10:sp4:~~ltss~~~ cpe:/o:suse:linux_enterprise_software_development_kit:11.0:sp4 cpe:/o:novell:suse_linux_enterprise_point_of_sale:11.0:sp3, Local, True
,,,,,,,, ba25fec8718f11e7ad2e15c9b61d473b, Package: kernel-tools.x86_64 version: 4.9.20-11.31.amzn1, N/A - based on package, CVE-2017-8890, Network vulnerability with Low access complexity requiring athentication level None, Based on the Halo account settings the vulnerability is critical.  It is a CVE from 2017 and its qualitative severity ranking (based on PCI guidelines) is high,  http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=657831ffc38e30092a2d5f03d385d710eb88b09a http://www.securityfocus.com/bid/98562 https://github.com/torvalds/linux/commit/657831ffc38e30092a2d5f03d385d710eb88b09a,  http://www.securityfocus.com/bid/98562, 10.0, RFE, RFE, RFE, Network vulnerability with Low access complexity requiring athentication level None, The availability impact is Complete. The confidentiality impact is Complete. The integrity impact is Complete, Patch vulnerable package kernel-tools.x86_64: The inet_csk_clone_lock function in net/ipv4/inet_connection_sock.c in the Linux kernel through 4.10.15 allows attackers to cause a denial of service (double free) or possibly have unspecified other impact by leveraging use of the accept system call.. Refer to references  http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=657831ffc38e30092a2d5f03d385d710eb88b09a http://www.securityfocus.com/bid/98562 https://github.com/torvalds/linux/commit/657831ffc38e30092a2d5f03d385d710eb88b09a,  https://alas.aws.amazon.com/ALAS-2017-846.html,, Network vulnerability with Low access complexity requiring athentication level None, N/A, high Fail, cpe:/o:linux:linux_kernel:4.10.15, Network, True
,,,,,,,,,,, CVE-2017-7618, Network vulnerability with Low access complexity requiring athentication level None, Based on the Halo account settings the vulnerability is critical.  It is a CVE from 2017 and its qualitative severity ranking (based on PCI guidelines) is high,  http://marc.info/?l=linux-crypto-vger&#38;m=149181655623850&#38;w=2 http://www.securityfocus.com/bid/97534,  http://www.securityfocus.com/bid/97534, 7.8, RFE, RFE, RFE, Network vulnerability with Low access complexity requiring athentication level None, The availability impact is Complete. The confidentiality impact is None. The integrity impact is None, Patch vulnerable package kernel-tools.x86_64: crypto/ahash.c in the Linux kernel through 4.10.9 allows attackers to cause a denial of service (API operation calling its own callback and infinite recursion) by triggering EBUSY on a full queue.. Refer to references  http://marc.info/?l=linux-crypto-vger&#38;m=149181655623850&#38;w=2 http://www.securityfocus.com/bid/97534,  https://alas.aws.amazon.com/ALAS-2017-828.html,, Network vulnerability with Low access complexity requiring athentication level None, N/A, high Fail, cpe:/o:linux:linux_kernel:4.10.9, Network, True
,,,,,,,,,,, CVE-2017-9077, Local vulnerability with Low access complexity requiring athentication level None, Based on the Halo account settings the vulnerability is critical.  It is a CVE from 2017 and its qualitative severity ranking (based on PCI guidelines) is high,  http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=83eaddab4378db256d00d295bda6ca997cd13a52 http://www.securityfocus.com/bid/98583 https://github.com/torvalds/linux/commit/83eaddab4378db256d00d295bda6ca997cd13a52 https://patchwork.ozlabs.org/patch/760370/,  http://www.securityfocus.com/bid/98583, 7.2, RFE, RFE, RFE, Local vulnerability with Low access complexity requiring athentication level None, The availability impact is Complete. The confidentiality impact is Complete. The integrity impact is Complete, Patch vulnerable package kernel-tools.x86_64: The tcp_v6_syn_recv_sock function in net/ipv6/tcp_ipv6.c in the Linux kernel through 4.11.1 mishandles inheritance which allows local users to cause a denial of service or possibly have unspecified other impact via crafted system calls a related issue to CVE-2017-8890.. Refer to references  http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=83eaddab4378db256d00d295bda6ca997cd13a52 http://www.securityfocus.com/bid/98583 https://github.com/torvalds/linux/commit/83eaddab4378db256d00d295bda6ca997cd13a52 https://patchwork.ozlabs.org/patch/760370/,  https://alas.aws.amazon.com/ALAS-2017-846.html,, Local vulnerability with Low access complexity requiring athentication level None, N/A, high Fail, cpe:/o:linux:linux_kernel:4.11.1, Local, True
,,,,,,,,,,, CVE-2017-9076, Local vulnerability with Low access complexity requiring athentication level None, Based on the Halo account settings the vulnerability is critical.  It is a CVE from 2017 and its qualitative severity ranking (based on PCI guidelines) is high,  http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=83eaddab4378db256d00d295bda6ca997cd13a52 http://www.securityfocus.com/bid/98586 https://github.com/torvalds/linux/commit/83eaddab4378db256d00d295bda6ca997cd13a52 https://patchwork.ozlabs.org/patch/760370/,  http://www.securityfocus.com/bid/98586, 7.2, RFE, RFE, RFE, Local vulnerability with Low access complexity requiring athentication level None, The availability impact is Complete. The confidentiality impact is Complete. The integrity impact is Complete, Patch vulnerable package kernel-tools.x86_64: The dccp_v6_request_recv_sock function in net/dccp/ipv6.c in the Linux kernel through 4.11.1 mishandles inheritance which allows local users to cause a denial of service or possibly have unspecified other impact via crafted system calls a related issue to CVE-2017-8890.. Refer to references  http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=83eaddab4378db256d00d295bda6ca997cd13a52 http://www.securityfocus.com/bid/98586 https://github.com/torvalds/linux/commit/83eaddab4378db256d00d295bda6ca997cd13a52 https://patchwork.ozlabs.org/patch/760370/,  https://alas.aws.amazon.com/ALAS-2017-846.html,, Local vulnerability with Low access complexity requiring athentication level None, N/A, high Fail, cpe:/o:linux:linux_kernel:4.11.1, Local, True
,,,,,,,,,,, CVE-2017-9075, Local vulnerability with Low access complexity requiring athentication level None, Based on the Halo account settings the vulnerability is critical.  It is a CVE from 2017 and its qualitative severity ranking (based on PCI guidelines) is high,  http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=fdcee2cbb8438702ea1b328fb6e0ac5e9a40c7f8 http://www.securityfocus.com/bid/98597 https://github.com/torvalds/linux/commit/fdcee2cbb8438702ea1b328fb6e0ac5e9a40c7f8 https://patchwork.ozlabs.org/patch/763569/,  http://www.securityfocus.com/bid/98597, 7.2, RFE, RFE, RFE, Local vulnerability with Low access complexity requiring athentication level None, The availability impact is Complete. The confidentiality impact is Complete. The integrity impact is Complete, Patch vulnerable package kernel-tools.x86_64: The sctp_v6_create_accept_sk function in net/sctp/ipv6.c in the Linux kernel through 4.11.1 mishandles inheritance which allows local users to cause a denial of service or possibly have unspecified other impact via crafted system calls a related issue to CVE-2017-8890.. Refer to references  http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=fdcee2cbb8438702ea1b328fb6e0ac5e9a40c7f8 http://www.securityfocus.com/bid/98597 https://github.com/torvalds/linux/commit/fdcee2cbb8438702ea1b328fb6e0ac5e9a40c7f8 https://patchwork.ozlabs.org/patch/763569/,  https://alas.aws.amazon.com/ALAS-2017-846.html,, Local vulnerability with Low access complexity requiring athentication level None, N/A, high Fail, cpe:/o:linux:linux_kernel:4.11.1, Local, True
,,,,,,,,,,, CVE-2017-9074, Local vulnerability with Low access complexity requiring athentication level None, Based on the Halo account settings the vulnerability is critical.  It is a CVE from 2017 and its qualitative severity ranking (based on PCI guidelines) is high,  http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=2423496af35d94a87156b063ea5cedffc10a70a1 http://www.securityfocus.com/bid/98577 https://github.com/torvalds/linux/commit/2423496af35d94a87156b063ea5cedffc10a70a1 https://patchwork.ozlabs.org/patch/763117/,  http://www.securityfocus.com/bid/98577, 7.2, RFE, RFE, RFE, Local vulnerability with Low access complexity requiring athentication level None, The availability impact is Complete. The confidentiality impact is Complete. The integrity impact is Complete, Patch vulnerable package kernel-tools.x86_64: The IPv6 fragmentation implementation in the Linux kernel through 4.11.1 does not consider that the nexthdr field may be associated with an invalid option which allows local users to cause a denial of service (out-of-bounds read and BUG) or possibly have unspecified other impact via crafted socket and send system calls.. Refer to references  http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=2423496af35d94a87156b063ea5cedffc10a70a1 http://www.securityfocus.com/bid/98577 https://github.com/torvalds/linux/commit/2423496af35d94a87156b063ea5cedffc10a70a1 https://patchwork.ozlabs.org/patch/763117/,  https://alas.aws.amazon.com/ALAS-2017-846.html,, Local vulnerability with Low access complexity requiring athentication level None, N/A, high Fail, cpe:/o:linux:linux_kernel:4.11.1, Local, True
,,,,,,,,,,, CVE-2017-7308, Local vulnerability with Low access complexity requiring athentication level None, Based on the Halo account settings the vulnerability is critical.  It is a CVE from 2017 and its qualitative severity ranking (based on PCI guidelines) is high,  https://source.android.com/security/bulletin/2017-07-01 https://patchwork.ozlabs.org/patch/744813/ https://patchwork.ozlabs.org/patch/744812/ https://patchwork.ozlabs.org/patch/744811/ https://googleprojectzero.blogspot.com/2017/05/exploiting-linux-kernel-via-packet.html http://www.securityfocus.com/bid/97234,  http://www.securityfocus.com/bid/97234, 7.2, RFE, RFE, RFE, Local vulnerability with Low access complexity requiring athentication level None, The availability impact is Complete. The confidentiality impact is Complete. The integrity impact is Complete, Patch vulnerable package kernel-tools.x86_64: The packet_set_ring function in net/packet/af_packet.c in the Linux kernel through 4.10.6 does not properly validate certain block-size data which allows local users to cause a denial of service (integer signedness error and out-of-bounds write) or gain privileges (if the CAP_NET_RAW capability is held) via crafted system calls.. Refer to references  https://source.android.com/security/bulletin/2017-07-01 https://patchwork.ozlabs.org/patch/744813/ https://patchwork.ozlabs.org/patch/744812/ https://patchwork.ozlabs.org/patch/744811/ https://googleprojectzero.blogspot.com/2017/05/exploiting-linux-kernel-via-packet.html http://www.securityfocus.com/bid/97234,  https://alas.aws.amazon.com/ALAS-2017-828.html,, Local vulnerability with Low access complexity requiring athentication level None, N/A, high Fail, cpe:/o:linux:linux_kernel:4.10.6, Local, True
